round,seed,percentage
Rnd of 64,1,0.0625
Rnd of 32,1,0.12351190476190477
Sweet 16,1,0.23809523809523808
Elite 8,1,0.39285714285714285
Final 4,1,0.5833333333333334
Finals,1,0.6666666666666666
Champion,1,0.8095238095238095
Rnd of 64,2,0.0625
Rnd of 32,2,0.125
Sweet 16,2,0.19940476190476192
Elite 8,2,0.27380952380952384
Final 4,2,0.20238095238095238
Finals,2,0.16666666666666666
Champion,2,0.19047619047619047
Rnd of 64,3,0.0625
Rnd of 32,3,0.125
Sweet 16,3,0.1636904761904762
Elite 8,3,0.1488095238095238
Final 4,3,0.08333333333333333
Finals,3,0.09523809523809523
Rnd of 64,4,0.0625
Rnd of 32,4,0.11755952380952381
Sweet 16,4,0.14583333333333334
Elite 8,4,0.08333333333333333
Final 4,4,0.07142857142857142
Finals,4,0.047619047619047616
Rnd of 64,5,0.0625
Rnd of 32,5,0.09970238095238096
Sweet 16,5,0.08928571428571429
Elite 8,5,0.017857142857142856
Final 4,5,0.023809523809523808
Finals,5,0.023809523809523808
Rnd of 64,6,0.0625
Rnd of 32,6,0.0818452380952381
Sweet 16,6,0.05357142857142857
Elite 8,6,0.02976190476190476
Rnd of 64,7,0.0625
Rnd of 32,7,0.0818452380952381
Sweet 16,7,0.041666666666666664
Elite 8,7,0.03571428571428571
Final 4,7,0.023809523809523808
Rnd of 64,8,0.0625
Rnd of 32,8,0.05952380952380952
Sweet 16,8,0.002976190476190476
Rnd of 64,9,0.0625
Rnd of 32,9,0.06547619047619048
Sweet 16,9,0.008928571428571428
Elite 8,9,0.005952380952380952
Final 4,9,0.011904761904761904
Rnd of 64,10,0.0625
Rnd of 32,10,0.043154761904761904
Sweet 16,10,0.008928571428571428
Elite 8,10,0.005952380952380952
Rnd of 64,11,0.0625
Rnd of 32,11,0.043154761904761904
Sweet 16,11,0.03273809523809524
Elite 8,11,0.005952380952380952
Rnd of 64,12,0.0625
Rnd of 32,12,0.025297619047619048
Sweet 16,12,0.008928571428571428
Rnd of 64,13,0.0625
Rnd of 32,13,0.00744047619047619
Sweet 16,13,0.005952380952380952
Rnd of 64,14,0.0625
Rnd of 64,15,0.0625
Rnd of 64,16,0.0625
Rnd of 32,16,0.001488095238095238
